Epoch 	 Training Loss 	 Training Accuracy 	 Validation Loss 	 Validation Accuracy 
0	0.8224367047349612	0.5479166666666667	0.8603231350580851	0.44166666666666665
1	0.6455657750368118	0.6375	0.6035698731740315	0.7125
2	0.6000111505389214	0.678125	0.5413790126641591	0.7333333333333333
3	0.5737951735655467	0.7020833333333333	0.635368037223816	0.675
4	0.6276936223109563	0.6489583333333333	0.5488083998362223	0.7375
5	0.5889473532636961	0.6958333333333333	0.5540728946526845	0.7458333333333333
6	0.5533652891715367	0.7260416666666667	0.5235248506069183	0.7541666666666667
7	0.5452576155463854	0.7364583333333333	0.5132052361965179	0.7666666666666667
8	0.5262917588154475	0.7447916666666666	0.5842649161815643	0.725
9	0.5358742559949558	0.74375	0.5902009963989258	0.6833333333333333
10	0.510873739918073	0.7479166666666667	0.570438931385676	0.6916666666666667
11	0.5266303693254789	0.7395833333333334	0.6380882143974305	0.6666666666666666
12	0.5115127290288607	0.7520833333333333	0.4925087928771973	0.7708333333333334
13	0.5036696071426073	0.753125	0.47153368989626565	0.7708333333333334
14	0.5005942245324453	0.7614583333333333	0.5253567000230154	0.7375
15	0.475210103392601	0.775	0.47141143480936687	0.7666666666666667
16	0.4522984114785989	0.7854166666666667	0.5153584192196529	0.7583333333333333
17	0.45098393186926844	0.7947916666666667	0.5231385787328084	0.7583333333333333
18	0.43495671699444455	0.7916666666666666	0.5123093803723653	0.7458333333333333
19	0.4501092863579591	0.7864583333333334	0.6334214508533478	0.6666666666666666
